03/12/2018 05:23:23 PM|INFO |YandexSearchMarketPage        | Starting configuration...
03/12/2018 05:23:23 PM|INFO |ClassPathXmlApplicationContext| Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@151e434: startup date [Mon Mar 12 17:23:23 MSK 2018]; root of context hierarchy
03/12/2018 05:23:23 PM|INFO |XmlBeanDefinitionReader       | Loading XML bean definitions from class path resource [beans.xml]
03/12/2018 05:23:30 PM|INFO |YandexSearchMarketPage        | Working method loadUrl
03/12/2018 05:23:32 PM|INFO |YandexSearchMarketPage        | Working method goToMarket
03/12/2018 05:23:32 PM|INFO |YandexSearchMarketPage        | Close configuration...
03/12/2018 05:27:07 PM|INFO |YandexSearchMarketPage        | Starting configuration...
03/12/2018 05:27:08 PM|INFO |ClassPathXmlApplicationContext| Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@988392: startup date [Mon Mar 12 17:27:08 MSK 2018]; root of context hierarchy
03/12/2018 05:27:08 PM|INFO |XmlBeanDefinitionReader       | Loading XML bean definitions from class path resource [beans.xml]
03/12/2018 05:27:13 PM|INFO |YandexSearchMarketPage        | Working method loadUrl
03/12/2018 05:27:18 PM|INFO |YandexSearchMarketPage        | Working method goToMarket
03/12/2018 05:27:18 PM|INFO |YandexSearchMarketPage        | Close configuration...
03/12/2018 05:55:58 PM|INFO |YandexSearchMarketPage        | Starting configuration...
03/12/2018 05:55:58 PM|INFO |ClassPathXmlApplicationContext| Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@151e434: startup date [Mon Mar 12 17:55:58 MSK 2018]; root of context hierarchy
03/12/2018 05:55:58 PM|INFO |XmlBeanDefinitionReader       | Loading XML bean definitions from class path resource [beans.xml]
03/12/2018 05:56:03 PM|INFO |YandexSearchMarketPage        | Working method loadUrl
03/12/2018 05:56:05 PM|INFO |YandexSearchMarketPage        | Working method goToMarket
03/12/2018 05:56:05 PM|INFO |YandexSearchMarketPage        | Close configuration...
